province,city,name,level,price,score,comments,addr
黑龙江,哈尔滨,中央大街,0,0.0,4.7,6930.0,哈尔滨市道里区
黑龙江,哈尔滨,哈尔滨冰雪大世界,0,200.0,4.7,26701.0,哈尔滨市松北区太阳岛西区冰雪大世界园区
黑龙江,哈尔滨,圣索菲亚大教堂,4,0.0,4.6,4987.0,哈尔滨市道里区透笼街88号
黑龙江,哈尔滨,松花江,0,0.0,4.6,1689.0,哈尔滨市呼兰区
黑龙江,哈尔滨,防洪纪念塔,0,0.0,4.4,631.0,哈尔滨市道里区中央大街尽头广场
黑龙江,哈尔滨,哈尔滨极地馆,4,145.0,4.6,5512.0,哈尔滨市松北区太阳大道3号
黑龙江,哈尔滨,东北虎林园,4,100.0,4.6,2572.0,哈尔滨市松北区松北街88号
黑龙江,哈尔滨,太阳岛风景区,5,0.0,4.3,1910.0,哈尔滨市松北区警备路3号
黑龙江,哈尔滨,雪谷,0,0.0,4.6,243.0,哈尔滨市五常市山河屯五常山河林业局东
黑龙江,哈尔滨,伏尔加庄园,4,99.0,4.6,2064.0,哈尔滨市香坊区成高子镇民强村
黑龙江,哈尔滨,龙塔,4,55.0,4.4,2317.0,哈尔滨市南岗区长江路178号
黑龙江,哈尔滨,亚布力滑雪旅游度假区,4,127.0,4.2,414.0,哈尔滨市尚志市金牌大道84号
黑龙江,哈尔滨,斯大林公园,0,0.0,4.4,313.0,哈尔滨市道里区近郊斯大林街3号（近松花江畔）
黑龙江,哈尔滨,俄罗斯风情小镇,0,0.0,4.2,829.0,哈尔滨市松北区太阳岛风景街10号
黑龙江,哈尔滨,太阳岛雪博会,0,248.0,4.5,2367.0,哈尔滨市松北区太阳岛风景区警备路3号
黑龙江,哈尔滨,松花江观光索道,0,76.0,4.7,2879.0,哈尔滨市道里区通江街218号
黑龙江,哈尔滨,果戈里大街,0,0.0,4.3,323.0,哈尔滨市南岗区
黑龙江,哈尔滨,老道外,0,0.0,4.3,351.0,哈尔滨市道外区景阳街197号
